시점,국내총생산(명목GDP),경제성장률(실질GDP성장률),소비자물가,근원물가,생활물가,공지시가_서울,공지시가_도심권,공지시가_동북권,공지시가_동남권,공지시가_서북권,공지시가_서남권
202001,"459,774.2",1.4,1.2,0.7,1.7,903.2,1188.2,787.4,1293.9,931.4,864.7
202002,"459,774.2",1.4,0.9,0.5,1.2,934.7,1155.1,800.4,1463.8,910.5,878.4
202003,"459,774.2",1.4,0.8,0.5,1.4,911.9,1111.3,791.3,1466.1,901.0,845.8
202004,"475,617.4",-2.6,0.0,0.3,0.2,949.4,1131.6,779.3,1619.3,835.7,841.5
202005,"475,617.4",-2.6,-0.2,0.6,-0.5,1051.0,1339.8,815.1,1667.2,944.8,907.9
202006,"475,617.4",-2.6,0.2,0.8,0.1,1118.2,1318.2,897.6,1678.0,1066.8,995.8
202007,"496,391.7",-0.9,0.4,0.7,0.3,1122.8,1333.7,954.7,1592.0,1072.3,1039.2
202008,"496,391.7",-0.9,0.8,0.8,0.7,1211.1,1460.7,1032.9,1679.0,1140.4,1068.9
202009,"496,391.7",-0.9,0.9,0.9,1.0,1215.4,1416.9,1038.6,1731.9,1138.5,1048.0
202010,"508,943.0",-0.7,0.1,0.2,-0.7,1203.7,1439.5,1000.4,1767.6,1133.4,1055.7
202011,"508,943.0",-0.7,0.6,1.1,0.0,1293.1,1439.0,1070.5,1882.7,1232.4,1119.7
202012,"508,943.0",-0.7,0.6,1.1,0.0,1352.5,1491.5,1109.3,1957.5,1260.9,1200.6
202101,"484,679.0",2.4,0.9,1.2,0.8,1333.9,1471.3,1122.1,1962.0,1312.7,1194.4
202102,"484,679.0",2.4,1.4,1.2,1.7,1310.1,1527.9,1085.0,1970.9,1204.9,1166.1
202103,"484,679.0",2.4,1.9,1.4,2.1,1280.9,1502.4,1114.4,1840.5,1184.8,1143.3
202104,"517,054.3",6.4,2.5,1.6,3.1,1371.8,1497.5,1134.9,2005.0,1183.2,1246.7
202105,"517,054.3",6.4,2.6,1.5,3.4,1338.6,1621.2,1160.9,1962.2,1241.9,1154.2
202106,"517,054.3",6.4,2.3,1.5,3.0,1362.3,1574.8,1163.0,2059.5,1270.0,1230.0
202107,"531,525.5",4.1,2.6,1.8,3.5,1404.3,1625.5,1176.7,2180.5,1325.6,1238.1
202108,"531,525.5",4.1,2.6,1.9,3.3,1430.4,1607.0,1247.1,2110.0,1374.6,1258.4
202109,"531,525.5",4.1,2.4,2.0,3.1,1492.4,1643.0,1288.6,2193.5,1442.1,1251.1
202110,"546,939.7",4.3,3.2,2.8,4.6,1474.3,1637.8,1274.4,2165.0,1399.0,1244.1
202111,"546,939.7",4.3,3.8,2.4,5.2,1402.5,1524.0,1238.2,2108.9,1276.9,1149.2
202112,"546,939.7",4.3,3.7,2.7,4.6,1448.7,1680.0,1205.5,2048.4,1347.4,1188.5
202201,"512,012.9",3.1,3.8,3.0,4.3,1418.3,1455.0,1236.4,2115.0,1282.0,1168.2
202202,"512,012.9",3.1,3.8,3.3,4.3,1315.4,1669.2,1167.1,1873.7,1232.9,1073.8
202203,"512,012.9",3.1,4.2,3.3,5.1,1418.0,1633.3,1211.7,2087.5,1343.8,1154.5
202204,"544,239.8",2.9,4.8,3.6,5.8,1500.6,1620.7,1271.0,2288.5,1353.4,1224.6
202205,"544,239.8",2.9,5.3,4.0,6.6,1443.0,1688.4,1213.5,2192.9,1248.5,1194.3
202206,"544,239.8",2.9,6.0,4.4,7.3,1408.6,1431.3,1154.9,2205.9,1213.7,1203.6
202207,"548,892.5",3.2,6.3,4.5,7.8,1370.4,1257.7,1112.4,2025.7,1250.4,1170.1
202208,"548,892.5",3.2,5.7,4.5,6.7,1241.3,1548.4,1059.3,1774.2,1132.0,1066.6
202209,"548,892.5",3.2,5.5,4.5,6.3,1246.9,1216.6,1035.8,2032.0,1233.8,1053.1
202210,"556,628.7",1.4,5.6,4.7,6.4,1190.5,1173.4,1015.4,1767.8,1074.6,1031.9
202211,"556,628.7",1.4,5.0,4.8,5.5,1275.0,1510.4,933.1,1908.8,1120.6,1028.5
202212,"556,628.7",1.4,5.0,4.7,5.7,1271.6,1409.4,1033.5,1823.4,1167.9,1051.2
202301,"523,816.2",0.9,5.0,4.8,5.8,1298.1,1405.3,1025.7,1838.6,1216.8,1118.9
202302,"523,816.2",0.9,4.7,4.7,5.3,1357.9,1516.3,1050.4,1914.7,1219.5,1136.6
202303,"523,816.2",0.9,4.2,4.7,4.3,1350.6,1565.3,1054.2,1950.0,1191.7,1154.3
202304,"551,569.1",0.9,3.7,4.5,3.7,1373.0,1537.4,1082.1,1964.0,1246.4,1167.4
202305,,,3.4,4.3,3.3,1438.7,1620.0,1102.7,2065.2,1315.7,1212.1
202306,,,2.7,4.0,2.5,1462.1,1700.6,1119.5,2157.4,1316.7,1224.7
202307,,,2.4,3.8,2.0,1439.8,1619.1,1126.8,2107.0,1337.6,1209.0
202308,,,3.4,3.7,3.9,1474.1,1713.7,1135.2,2183.7,1332.8,1230.4
202309,,,3.7,3.7,4.4,1449.3,1604.2,1155.9,2140.6,1317.7,1249.7
202310,,,3.8,3.5,4.5,1375.1,1722.4,1066.4,2096.3,1183.3,1192.5
202311,,,3.3,3.2,3.9,,,,,,
202312,,,3.2,3.1,3.7,,,,,,
